ANO;MES;DESPESAS;ARRECADACAO;SUBSIDIO;MULTAS;EMPRESTIMO;TRANSFERENCIA;BALANCO;IN_IPCA;C_REAL;C_DESPESAS;C_ARRECADACAO;C_SUBSIDIO;C_MULTAS;C_EMPRESTIMO;C_TRANSFERENCIA;PAX;IN_PAX;TARIFA;C_TARIFA;IN_C_TARIFA;SMSP;C_SMSP;IN_C_SMSP
2005;SET;266349612,83;246372652,00;20413367,33;;;-436406,50;0,00;2493,79;0,84;-222761363,42;206053642,38;17072709,40;0,00;0,00;-364988,35;218402854,00;2,150;2,00;1,67;0,984;300,00;250,90;1,255
2005;OUT;248734156,60;234358053,72;17366666,67;;;-2990563,79;0,00;2512,49;0,83;-206480366,38;194546408,34;14416498,91;0,00;0,00;-2482540,86;223091648,00;2,196;2,00;1,66;0,977;300,00;249,04;1,245
2005;NOV;255975541,56;245059836,29;21634526,67;;;-10718821,40;0,00;2526,31;0,83;-211329198,52;202317371,72;17861109,52;0,00;0,00;-8849282,72;220641115,00;2,172;2,00;1,65;0,971;300,00;247,68;1,238
2005;DEZ;277786155,09;246878347,77;39526783,45;;;-8618976,13;0,00;2535,40;0,82;-228513460,58;203087967,33;32515666,84;0,00;0,00;-7090173,60;224772957,00;2,212;2,00;1,65;0,968;300,00;246,79;1,234
2006;JAN;241694697,31;220694815,63;;;;20999881,68;0,00;2550,36;0,82;-197657505,72;180483838,78;0,00;0,00;0,00;17173666,94;202973513,00;1,998;2,00;1,64;0,962;300,00;245,34;1,227
2006;FEV;252452242,20;223987659,13;26519019,89;;;1945563,18;0,00;2560,82;0,81;-205611715,20;182428511,53;21598624,43;0,00;0,00;1584579,24;201127399,00;1,980;2,00;1,63;0,958;300,00;244,34;1,222
2006;MAR;318276543,55;296566711,37;28079073,66;;;-6369241,48;0,00;2571,83;0,81;-258113102,87;240507054,73;22771319,39;0,00;0,00;-5165271,25;236535517,00;2,328;2,00;1,62;0,954;300,00;243,29;1,216
2006;ABR;265184739,59;221982924,22;25891030,93;;;17310784,44;0,00;2577,23;0,81;-214606576,70;179644558,46;20952885,61;0,00;0,00;14009132,63;210992184,00;2,077;2,00;1,62;0,952;350,00;283,25;1,416
2006;MAI;289366314,79;259527643,25;32054640,15;;;-2215968,61;0,00;2579,81;0,81;-233941854,41;209818403,28;25914978,96;0,00;0,00;-1791527,83;227039966,00;2,235;2,00;1,62;0,951;350,00;282,96;1,415
2006;JUN;287816715,78;245868319,45;51936155,63;;;-9987759,30;0,00;2574,39;0,81;-233178954,15;199193842,62;42076841,92;0,00;0,00;-8091730,40;217106459,00;2,137;2,00;1,62;0,953;350,00;283,56;1,418
2006;JUL;252023812,05;225520432,77;25000000,00;;;1503379,28;0,00;2579,28;0,81;-203793703,79;182362308,95;20215719,12;0,00;0,00;1215675,73;209948503,00;2,067;2,00;1,62;0,951;350,00;283,02;1,415
2006;AGO;297072182,45;250819474,77;28942368,85;;;17310338,83;0,00;2580,57;0,81;-240101027,87;202718454,50;23391932,74;0,00;0,00;13990640,63;240618994,00;2,368;2,00;1,62;0,951;350,00;282,88;1,414
2006;SET;288240370,36;240955138,36;26976001,92;;;20309230,08;0,00;2585,99;0,81;-232474671,46;194337686,14;21756970,32;0,00;0,00;16380015,00;225938744,00;2,224;2,00;1,61;0,949;350,00;282,29;1,411
2006;OUT;294376216,18;256624298,06;51877068,51;;;-14125150,39;0,00;2594,52;0,80;-236642842,05;206294869,95;41702883,10;0,00;0,00;-11354910,99;239533986,00;2,358;2,00;1,61;0,946;350,00;281,36;1,407
2006;NOV;286372103,63;263388529,96;19188876,59;;;3794697,08;0,00;2602,56;0,80;-229497329,21;211078395,57;15377880,29;0,00;0,00;3041053,35;225746661,00;2,222;2,30;1,84;1,084;350,00;280,49;1,402
2006;DEZ;273583796,54;241826275,97;9444905,49;;;22312615,08;0,00;2615,05;0,80;-218201660,68;192872880,93;7532953,67;0,00;0,00;17795826,09;223548268,00;2,200;2,30;1,83;1,079;350,00;279,15;1,396
2007;JAN;279618754,33;264769255,77;27015790,70;;;-12166292,14;0,00;2626,56;0,79;-222037662,77;210246079,04;21452506,07;0,00;0,00;-9660922,34;205653946,00;2,024;2,30;1,83;1,074;350,00;277,93;1,390
2007;FEV;259704463,55;251522364,05;26860492,15;;;-18678392,65;0,00;2638,12;0,79;-205320609,20;198851896,14;21235725,16;0,00;0,00;-14767012,11;199823655,00;1,967;2,30;1,82;1,070;350,00;276,71;1,384
2007;MAR;336010852,90;319830161,27;30726441,26;;;-14545749,63;0,00;2647,88;0,79;-264668759,79;251923565,55;24202578,67;0,00;0,00;-11457384,43;244159416,00;2,403;2,30;1,81;1,066;350,00;275,69;1,378
2007;ABR;302370942,95;275168099,39;28816280,90;;;-1613437,34;0,00;2654,50;0,79;-237577332,19;216203654,75;22641379,07;0,00;0,00;-1267701,64;224027172,00;2,205;2,30;1,81;1,063;380,00;298,57;1,493
2007;MAI;;;;;;;0,00;2661,93;0,78;0,00;0,00;0,00;0,00;0,00;0,00;242375533,00;2,386;2,30;1,80;1,060;380,00;297,74;1,489
2007;JUN;321021575,80;283930588,41;28886910,11;;;8204077,28;0,00;2669,38;0,78;-250825390,25;221844903,92;22570353,67;0,00;0,00;6410132,65;226488245,00;2,229;2,30;1,80;1,057;380,00;296,91;1,485
2007;JUL;314549434,23;283913388,04;39471454,03;;;-8835407,84;0,00;2675,79;0,78;-245179727,85;221300055,37;30766548,29;0,00;0,00;-6886875,81;215971342,00;2,126;2,30;1,79;1,055;380,00;296,20;1,481
2007;AGO;376395274,38;310737928,19;39149469,71;17000000,00;;9507876,48;0,00;2688,37;0,78;-292013411,80;241075403,34;30372778,29;13188869,09;0,00;7376361,07;248723523,00;2,448;2,30;1,78;1,050;380,00;294,81;1,474
2007;SET;310890059,25;269699044,98;39694924,16;2100000,00;;-603909,89;0,00;2693,21;0,77;-240759977,42;208860766,20;30740606,72;1626285,36;0,00;-467680,86;227856292,00;2,243;2,30;1,78;1,048;380,00;294,28;1,471
2007;OUT;355806939,99;308232491,71;38900773,17;8500000,00;;173675,11;0,00;2701,29;0,77;-274720381,22;237987903,30;30035488,45;6562894,02;0,00;134095,45;246649861,00;2,428;2,30;1,78;1,045;380,00;293,40;1,467
2007;NOV;334889057,60;285283498,67;51366814,27;-1950000,00;;188744,66;0,00;2711,55;0,77;-257591196,79;219435410,56;39510515,09;-1499908,17;0,00;145179,31;226497521,00;2,229;2,30;1,77;1,041;380,00;292,29;1,461
2007;DEZ;313746619,99;277379652,64;39329466,01;-3050000,00;;87501,34;0,00;2731,62;0,76;-239555666,74;211788313,86;30029316,18;-2328773,40;0,00;66810,10;223741747,00;2,202;2,30;1,76;1,033;380,00;290,14;1,451
2008;JAN;308510357,66;277187104,96;39030249,22;-7650000,00;;-56996,52;0,00;2746,37;0,76;-234292496,19;210504630,14;29640802,29;-5809651,29;0,00;-43284,95;211287880,00;2,080;2,30;1,75;1,027;380,00;288,58;1,443
2008;FEV;321023936,52;289596739,19;39434961,49;-8230000,00;;222235,84;0,00;2759,83;0,76;-242606683,72;218856279,91;29802093,06;-6219639,04;0,00;167949,78;216711966,00;2,133;2,30;1,74;1,022;380,00;287,18;1,436
2008;MAR;324361631,43;293978538,26;42623259,01;-12560000,00;;319834,16;0,00;2773,08;0,75;-243957825,75;221106191,56;32057668,32;-9446586,76;0,00;240552,64;236992820,00;2,333;2,30;1,73;1,018;415,00;312,13;1,561
2008;ABR;363641062,52;296564656,68;47493760,45;19650000,00;;-67354,61;0,00;2788,33;0,75;-272004709,37;221831337,45;35525488,84;14698264,55;0,00;-50381,47;236402740,00;2,327;2,30;1,72;1,012;415,00;310,42;1,552
2008;MAI;339521000,31;290694528,98;39364632,42;9310000,00;;151838,91;0,00;2810,36;0,74;-251972046,26;215735978,74;29214060,31;6909321,51;0,00;112685,70;232120064,00;2,285;2,30;1,71;1,004;415,00;307,99;1,540
2008;JUN;344827687,67;294240167,72;39226454,35;11405000,00;;-43934,40;0,00;2831,16;0,74;-254030224,93;216763034,59;28897636,06;8401920,20;0,00;-32365,92;234225836,00;2,305;2,30;1,69;0,997;415,00;305,73;1,529
2008;JUL;392133396,34;306547266,46;88100133,90;-2250000,00;;-264004,02;0,00;2846,16;0,73;-287357275,09;224639339,57;64560209,99;-1648811,03;0,00;-193463,44;234676164,00;2,310;2,30;1,69;0,991;415,00;304,11;1,521
2008;AGO;353235132,27;292462243,45;72665559,61;-12147000,00;;254329,21;0,00;2854,13;0,73;-258129605,40;213719295,17;53100981,51;-8876524,53;0,00;185853,25;247241055,00;2,434;2,30;1,68;0,989;415,00;303,26;1,516
2008;SET;394054945,21;310756072,89;77301923,86;5970000,00;;26948,46;0,00;2861,55;0,73;-287212356,28;226498829,69;56342568,38;4351316,45;0,00;19641,76;250860642,00;2,469;2,30;1,68;0,986;415,00;302,48;1,512
2008;OUT;406841749,35;323288728,68;53925450,96;29710000,00;;-82430,29;0,00;2874,43;0,73;-295203466,35;234577580,82;39128187,00;21557509,77;0,00;-59811,23;261644457,00;2,575;2,30;1,67;0,982;415,00;301,12;1,506
2008;NOV;338917262,25;275921126,75;75000000,00;-10960000,00;;-1043864,50;0,00;2884,78;0,72;-245035307,90;199489450,02;54224585,58;-7924019,44;0,00;-754708,27;238646854,00;2,349;2,30;1,66;0,978;415,00;300,04;1,500
2008;DEZ;368357426,76;308270748,95;80908978,00;-21815000,00;;992699,81;0,00;2892,86;0,72;-265576529,06;222255531,09;58333357,73;-15728071,60;0,00;715711,84;235045662,00;2,314;2,30;1,66;0,975;415,00;299,20;1,496
2009;JAN;349717883,48;265869093,07;49700412,37;34035000,00;;113378,04;0,00;2906,74;0,72;-250933896,81;190769676,69;35661653,97;24421213,73;0,00;81352,41;215145441,00;2,118;2,30;1,65;0,971;415,00;297,78;1,489
2009;FEV;294311820,67;262583085,64;61106513,02;-29285000,00;;-92777,99;0,00;2922,73;0,71;-210022916,29;187381075,25;43606023,16;-20897975,11;0,00;-66207,00;211284210,00;2,080;2,30;1,64;0,965;465,00;331,83;1,659
2009;MAR;396134491,06;326458961,99;52324934,41;17365000,00;;-14405,34;0,00;2928,57;0,71;-282120552,12;232498771,70;37264968,64;12367071,03;0,00;-10259,25;256282032,00;2,523;2,30;1,64;0,964;465,00;331,17;1,656
2009;ABR;347103023,24;299077576,75;53234746,94;-5050000,00;;-159300,45;0,00;2942,63;0,71;-246020000,31;211980480,14;37731772,94;-3579343,65;0,00;-112909,12;238506643,00;2,348;2,30;1,63;0,959;465,00;329,58;1,648
2009;MAI;397501994,07;293646880,70;77739928,05;25820000,00;;295185,32;0,00;2956,46;0,71;-280423871,45;207157690,66;54842823,22;18215114,56;0,00;208243,01;247889752,00;2,440;2,30;1,62;0,954;465,00;328,04;1,640
2009;JUN;379812553,23;298368521,27;77992375,69;4000000,00;;-548343,73;0,00;2967,10;0,70;-266983736,99;209733833,52;54823611,65;2811742,11;0,00;-385450,29;239103831,00;2,353;2,30;1,62;0,951;465,00;326,87;1,634
2009;JUL;386455299,36;308962313,55;77922622,36;-950000,00;;520363,45;0,00;2974,22;0,70;-271002847,39;216660676,79;54643454,42;-666190,13;0,00;364906,31;231240335,00;2,276;2,30;1,61;0,949;465,00;326,08;1,630
2009;AGO;338780089,99;289010618,23;53229058,18;-3470000,00;;10413,58;0,00;2978,68;0,70;-237214758,92;202366036,71;37271134,22;-2429703,63;0,00;7291,62;244638851,00;2,408;2,30;1,61;0,947;465,00;325,59;1,628
2009;SET;415626521,56;308424963,35;102760193,55;4515000,00;;-73635,34;0,00;2985,83;0,70;-290325947,39;215442867,66;71780670,86;3153845,06;0,00;-51436,20;246697206,00;2,428;2,30;1,61;0,945;465,00;324,81;1,624
2009;OUT;410772376,91;310058037,32;77969484,32;24145000,00;;-1400144,73;0,00;2994,19;0,70;-286134056,65;215978894,89;54311648,24;16818820,32;0,00;-975306,80;254555603,00;2,506;2,30;1,60;0,942;465,00;323,91;1,620
2009;NOV;355604638,41;289090711,25;78207971,85;-13140000,00;;1445955,31;0,00;3006,47;0,69;-246693791,14;200551049,78;54255257,07;-9115619,05;0,00;1003103,33;243360949,00;2,395;2,30;1,60;0,939;465,00;322,58;1,613
2009;DEZ;414365553,49;313595166,50;77953988,15;22825000,00;;-8601,16;0,00;3017,59;0,69;-286398731,31;216748851,52;53879776,25;15776048,44;0,00;-5944,90;241302708,00;2,375;2,30;1,59;0,935;465,00;321,40;1,607
2010;JAN;327828293,76;280730200,77;49540409,54;-2162000,00;;-280316,55;0,00;3040,22;0,69;-224899815,06;192589143,27;33986172,50;-1483195,35;0,00;-192305,37;210162084,00;2,069;2,70;1,85;1,090;510,00;349,87;1,749
2010;FEV;361729522,86;318885958,13;49704432,75;-6510000,00;;-350868,02;0,00;3063,93;0,68;-246236706,20;217072212,86;33834826,94;-4431490,54;0,00;-238843,06;214843723,00;2,115;2,70;1,84;1,081;510,00;347,17;1,736
